Name,Location,State,Country,Population (k),GDP/head ($k),Fuel Premium ($/L),Labour Cost Factor
Torres Strait,"-10.6048, 142.26968",QLD,Australia,10.7,47.0,,
Weipa,"-12.64939, 141.8648",QLD,Australia,11.5,63.0,,
Cairns,"-16.92056, 145.76971",QLD,Australia,259.0,57.0,,
Townsville,"-19.27244, 146.80318",QLD,Australia,253.6,63.0,,
Normanton,"-17.72471, 141.04319",QLD,Australia,5.7,43.0,,
Mount Isa,"-20.72419, 139.49018",QLD,Australia,24.4,85.0,,
Hughenden,"-20.84491, 144.19916",QLD,Australia,4.9,56.0,,
Mackay,"-21.148, 149.17145",QLD,Australia,171.0,68.0,,
Rockhampton,"-23.37134, 150.50896",QLD,Australia,198.7,60.0,,
Bundaberg,"-24.86068, 152.33974",QLD,Australia,227.4,43.0,,
Sunshine Coast,"-26.65177, 153.06594",QLD,Australia,491.6,57.0,,
Brisbane,"-27.48045, 153.03576",QLD,Australia,2581.7,69.0,,
Gold Coast,"-28.03589, 153.39561",QLD,Australia,767.2,61.0,,
Toowoomba,"-27.5611, 151.95189",QLD,Australia,314.3,54.0,,
Roma,"-26.57862, 148.7916",QLD,Australia,39.3,58.0,,
Emerald,"-23.52819, 148.14838",QLD,Australia,41.0,81.0,,
Longreach,"-23.44275, 144.24724",QLD,Australia,9.0,61.0,,
Charleville,"-26.40186, 146.24057",QLD,Australia,7.7,52.0,,
Gove,"-12.18577, 136.7863",NT,Australia,17.4,31.0,,
Darwin,"-12.41442, 130.88195",NT,Australia,163.3,81.0,,
Katherine,"-14.45886, 132.26147",NT,Australia,19.9,58.0,,
Tennant Creek,"-19.64405, 134.1926",NT,Australia,7.2,50.0,,
Alice Springs,"-23.70175, 133.87432",NT,Australia,36.9,72.0,,
Uluru,"-25.24237, 130.9821",NT,Australia,7.9,38.0,,
Kununurra,"-15.78054, 128.74347",WA,Australia,9.7,68.0,,
Halls Creek,"-18.22202, 127.66895",WA,Australia,4.1,32.0,,
Fitzroy Crossing,"-18.19854, 125.56892",WA,Australia,4.2,47.0,,
Broome,"-17.94899, 122.23058",WA,Australia,22.6,74.0,,
Port Hedland,"-20.35756, 118.62205",WA,Australia,19.1,112.0,,
Karratha,"-20.73749, 116.84397",WA,Australia,25.4,115.0,,
Newman,"-23.3532, 119.74944",WA,Australia,12.9,108.0,,
Carnarvon,"-24.86218, 113.70157",WA,Australia,6.2,58.0,,
Meekatharra,"-26.59449, 118.4952",WA,Australia,2.9,47.0,,
Exmouth,"-21.933, 114.12318",WA,Australia,4.9,87.0,,
Geraldton,"-28.78623, 114.62314",WA,Australia,55.3,59.0,,
Perth,"-31.9534, 115.84918",WA,Australia,2299.1,70.0,,
Bunbury,"-33.33882, 115.65936",WA,Australia,199.9,59.0,,
Albany,"-35.00599, 117.86468",WA,Australia,66.4,53.0,,
Esperance,"-33.85183, 121.89234",WA,Australia,17.4,61.0,,
Kalgoorie,"-30.75918, 121.48461",WA,Australia,39.3,87.0,,
Ceduna,"-32.12485, 133.67798",SA,Australia,6.6,52.0,,
Port Lincoln,"-34.72695, 135.85224",SA,Australia,28.6,52.0,,
Port Augusta,"-32.49521, 137.77199",SA,Australia,72.1,47.0,,
Roxby Downs,"-30.55055, 136.8996",SA,Australia,4.7,111.0,,
Coober Pedy,"-29.01923, 134.75279",SA,Australia,2.2,38.0,,
Kingscote (Kangaroo Island),"-35.63845, 137.59557",SA,Australia,5.1,48.0,,
Adelaide,"-34.90915, 138.59451",SA,Australia,1620.5,59.0,,
Mount Gambier,"-37.8318, 140.77133",SA,Australia,88.8,52.0,,
Mildura,"-34.20578, 142.13774",VIC,Australia,103.4,52.0,,
Horsham,"-36.721, 142.19905",VIC,Australia,57.5,51.0,,
Warrnambool,"-38.38015, 142.48425",VIC,Australia,101.8,55.0,,
Ballarat,"-37.56115, 143.85454",VIC,Australia,215.4,58.0,,
Bendigo,"-36.75605, 144.27998",VIC,Australia,225.7,55.0,,
Melbourne,"-37.80973, 144.9628",VIC,Australia,5364.6,70.0,,
Shepparton,"-36.37982, 145.3989",VIC,Australia,180.2,52.0,,
Morwell,"-38.22952, 146.45597",VIC,Australia,221.2,52.0,,
Bairnsdale,"-37.81674, 147.62454",VIC,Australia,67.2,47.0,,
King Island,"-39.9144, 143.85399",TAS,Australia,1.7,57.0,,
Flinders Island,"-40.0577, 147.95531",TAS,Australia,0.9,48.0,,
Launceston,"-41.43909, 147.13654",TAS,Australia,272.5,49.0,,
Hobart,"-42.88507, 147.32989",TAS,Australia,295.9,59.0,,
Broken Hill,"-31.9579, 141.46671",NSW,Australia,20.3,49.0,,
Griffith,"-34.28775, 146.03118",NSW,Australia,74.4,56.0,,
Albury-Wodonga,"-36.08377, 146.92303",NSW,Australia,186,56.0,,
Wagga Wagga,"-35.11876, 147.36766",NSW,Australia,120.7,57.0,,
Cobar,"-31.49748, 145.83604",NSW,Australia,10.3,61.0,,
Dubbo,"-32.24472, 148.61188",NSW,Australia,92.9,57.0,,
Narrabri,"-30.32385, 149.78495",NSW,Australia,44.9,54.0,,
Armidale,"-30.51169, 151.64854",NSW,Australia,72.1,49.0,,
Tamworth,"-31.09242, 150.92212",NSW,Australia,93,56.0,,
Ballina,"-28.85974, 153.55221",NSW,Australia,171.7,53.0,,
Coffs Harbour,"-30.29559, 153.11329",NSW,Australia,157.3,48.0,,
Port Macquarie,"-31.44359, 152.9067",NSW,Australia,168.1,47.0,,
Newcastle,"-32.91482, 151.72498",NSW,Australia,829,61.0,,
Sydney,"-33.82032, 151.0027",NSW,Australia,5197.9,76.0,,
Wollongong,"-34.48577, 150.86512",NSW,Australia,427.3,59.0,,
Bega,"-36.67998, 149.8389",NSW,Australia,83.3,49.0,,
Goulburn,"-34.74837, 149.72399",NSW,Australia,93.8,61.0,,
Bathurst,"-33.41792, 149.58213",NSW,Australia,152.1,59.0,,
Parkes,"-33.12531, 148.12818",NSW,Australia,48.7,51.0,,
Canberra,"-35.31757, 149.12125",ACT,Australia,559.5,92.0,,
Norfolk Island,"-29.03293, 167.94932",,Australia,2.2,70.0,,
Lord Howe Island,"-31.53886, 159.07727",,Australia,0.4,60.0,,
Christmas Island,"-10.48624, 105.62991",,Australia,1.8,86.0,,
Cocos (Keeling) Island,"-12.14973, 96.82202",,Australia,0.6,65.0,,
