Start Node,Start State,Start Country,End Node,End State,End Country,Distance (km),Speed (km/h),Has Ferry,Ferries
Weipa,QLD,Australia,Cairns,QLD,Australia,840,90,No,
Weipa,QLD,Australia,Normanton,QLD,Australia,1070,90,No,
Cairns,QLD,Australia,Townsville,QLD,Australia,370,90,No,
Cairns,QLD,Australia,Normanton,QLD,Australia,710,90,No,
Cairns,QLD,Australia,Hughenden,QLD,Australia,630,90,No,
Townsville,QLD,Australia,Mackay,QLD,Australia,390,90,No,
Townsville,QLD,Australia,Hughenden,QLD,Australia,380,100,No,
Townsville,QLD,Australia,Emerald,QLD,Australia,610,100,No,
Normanton,QLD,Australia,Mount Isa,QLD,Australia,500,100,No,
Normanton,QLD,Australia,Hughenden,QLD,Australia,650,100,No,
Mount Isa,QLD,Australia,Hughenden,QLD,Australia,520,110,No,
Mount Isa,QLD,Australia,Longreach,QLD,Australia,650,110,No,
Mount Isa,QLD,Australia,Tennant Creek,NT,Australia,660,110,No,
Mount Isa,QLD,Australia,Port Augusta,SA,Australia,1580,90,No,
Mount Isa,QLD,Australia,Roxby Downs,SA,Australia,1390,90,No,
Hughenden,QLD,Australia,Mackay,QLD,Australia,710,100,No,
Hughenden,QLD,Australia,Longreach,QLD,Australia,330,100,No,
Hughenden,QLD,Australia,Emerald,QLD,Australia,710,100,No,
Hughenden,QLD,Australia,Roxby Downs,SA,Australia,1660,90,No,
Mackay,QLD,Australia,Rockhampton,QLD,Australia,340,90,No,
Mackay,QLD,Australia,Emerald,QLD,Australia,380,90,No,
Mackay,QLD,Australia,Longreach,QLD,Australia,700,100,No,
Rockhampton,QLD,Australia,Bundaberg,QLD,Australia,290,100,No,
Rockhampton,QLD,Australia,Roma,QLD,Australia,470,90,No,
Rockhampton,QLD,Australia,Emerald,QLD,Australia,270,90,No,
Rockhampton,QLD,Australia,Toowoomba,QLD,Australia,640,90,No,
Bundaberg,QLD,Australia,Sunshine Coast,QLD,Australia,270,100,No,
Bundaberg,QLD,Australia,Toowoomba,QLD,Australia,400,90,No,
Bundaberg,QLD,Australia,Roma,QLD,Australia,540,90,No,
Sunshine Coast,QLD,Australia,Brisbane,QLD,Australia,110,100,No,
Sunshine Coast,QLD,Australia,Toowoomba,QLD,Australia,220,80,No,
Sunshine Coast,QLD,Australia,Roma,QLD,Australia,530,90,No,
Sunshine Coast,QLD,Australia,Emerald,QLD,Australia,790,90,No,
Brisbane,QLD,Australia,Gold Coast,QLD,Australia,90,100,No,
Brisbane,QLD,Australia,Toowoomba,QLD,Australia,130,100,No,
Brisbane,QLD,Australia,Armidale,NSW,Australia,470,90,No,
Gold Coast,QLD,Australia,Toowoomba,QLD,Australia,180,90,No,
Gold Coast,QLD,Australia,Ballina,NSW,Australia,120,110,No,
Toowoomba,QLD,Australia,Roma,QLD,Australia,350,100,No,
Toowoomba,QLD,Australia,Emerald,QLD,Australia,700,100,No,
Toowoomba,QLD,Australia,Armidale,NSW,Australia,380,90,No,
Toowoomba,QLD,Australia,Narrabri,NSW,Australia,440,100,No,
Roma,QLD,Australia,Emerald,QLD,Australia,700,110,No,
Roma,QLD,Australia,Charleville,QLD,Australia,270,110,No,
Roma,QLD,Australia,Longreach,QLD,Australia,700,110,No,
Roma,QLD,Australia,Narrabri,NSW,Australia,530,100,No,
Roma,QLD,Australia,Armidale,NSW,Australia,650,95,No,
Roma,QLD,Australia,Tamworth,NSW,Australia,670,95,No,
Roma,QLD,Australia,Cobar,NSW,Australia,770,100,No,
Roma,QLD,Australia,Dubbo,NSW,Australia,760,100,No,
Emerald,QLD,Australia,Longreach,QLD,Australia,420,110,No,
Emerald,QLD,Australia,Charleville,QLD,Australia,530,100,No,
Longreach,QLD,Australia,Charleville,QLD,Australia,520,110,No,
Longreach,QLD,Australia,Port Augusta,SA,Australia,1510,90,No,
Longreach,QLD,Australia,Roxby Downs,SA,Australia,1400,90,No,
Longreach,QLD,Australia,Broken Hill,NSW,Australia,1420,90,No,
Charleville,QLD,Australia,Narrabri,NSW,Australia,730,100,No,
Charleville,QLD,Australia,Dubbo,NSW,Australia,820,110,No,
Charleville,QLD,Australia,Cobar,NSW,Australia,610,110,No,
Charleville,QLD,Australia,Roxby Downs,SA,Australia,1420,90,No,
Charleville,QLD,Australia,Port Augusta,SA,Australia,1420,90,No,
Gove,NT,Australia,Katherine,NT,Australia,730,60,No,
Darwin,NT,Australia,Katherine,NT,Australia,320,110,No,
Katherine,NT,Australia,Tennant Creek,NT,Australia,680,120,No,
Katherine,NT,Australia,Kununurra,WA,Australia,510,110,No,
Tennant Creek,NT,Australia,Alice Springs,NT,Australia,510,120,No,
Alice Springs,NT,Australia,Uluru,NT,Australia,450,110,No,
Alice Springs,NT,Australia,Coober Pedy,SA,Australia,690,120,No,
Uluru,NT,Australia,Coober Pedy,SA,Australia,760,120,No,
Uluru,NT,Australia,Kalgoorie,WA,Australia,1460,90,No,
Uluru,NT,Australia,Meekatharra,WA,Australia,1700,90,No,
Uluru,NT,Australia,Newman,WA,Australia,1960,90,No,
Kununurra,WA,Australia,Halls Creek,WA,Australia,360,110,No,
Halls Creek,WA,Australia,Fitzroy Crossing,WA,Australia,290,110,No,
Fitzroy Crossing,WA,Australia,Broome,WA,Australia,400,110,No,
Broome,WA,Australia,Port Hedland,WA,Australia,600,120,No,
Broome,WA,Australia,Newman,WA,Australia,880,110,No,
Port Hedland,WA,Australia,Newman,WA,Australia,450,110,No,
Port Hedland,WA,Australia,Karratha,WA,Australia,240,120,No,
Karratha,WA,Australia,Newman,WA,Australia,520,100,No,
Karratha,WA,Australia,Carnarvon,WA,Australia,630,110,No,
Karratha,WA,Australia,Exmouth,WA,Australia,550,110,No,
Karratha,WA,Australia,Newman,WA,Australia,920,110,No,
Newman,WA,Australia,Carnarvon,WA,Australia,930,100,No,
Newman,WA,Australia,Meekatharra,WA,Australia,420,110,No,
Newman,WA,Australia,Exmouth,WA,Australia,850,100,No,
Carnarvon,WA,Australia,Exmouth,WA,Australia,370,100,No,
Carnarvon,WA,Australia,Meekatharra,WA,Australia,610,90,No,
Carnarvon,WA,Australia,Geraldton,WA,Australia,540,100,No,
Meekatharra,WA,Australia,Geraldton,WA,Australia,540,100,No,
